qid,label
Q1704409,Plains Cree
Q17045028,Belarusians in Kazakhstan
Q17051198,Gija
Q17052722,Nigerian Brazilians
Q17054260,Ngāti Pūkenga
Q17054305,Indo-Guyanese
Q17055843,Ngāti Rangitihi
Q17056773,Temuan
Q17060677,Waikato Tainui
Q17071030,Sylheti
Q17072635,Hiligaynon people
Q1707319,Tusya
Q17074661,Karay-a people
Q17078871,mestizo Colombians
Q170826,Irish people
Q17111069,White Puerto Ricans
Q1711179,Judaeo-Catalan
Q1711622,Jukunoid
Q171336,Slovaks
Q171795,Abkhazians
Q1722812,Nzema people
Q1722872,Kamayurá people
Q172365,San people
Q1723904,Kaw people
Q172717,Avars
Q17278097,Crow Creek Sioux Tribe
Q17279967,Oglala Sioux Tribe
Q17280097,Rosebud Sioux Tribe
Q17280792,Standing Rock Sioux Tribe
Q173302,Estonians
Q173371,Bantu people
Q173491,Tamil
Q1737166,Kaurna people
Q1737293,Miniconjou
Q1737369,Kaxinawá people
Q17376908,languoid
Q1740805,Northern Quichua
Q17478054,Gitano
Q1749358,Lithuanian Americans
Q17507337,Black Bermudian
Q17507517,Tunisians in France
Q1751432,Plautdietsch
Q1752440,Israeli Jews
Q1754891,Ponca
Q1755154,Coast Salish peoples
Q1757689,Cypriot syllabary
Q1757881,Tupinambá
Q175823,Gamilaraay
Q1758420,Mandailing Batak
Q1760969,Lovari
Q176203,Xerente people
Q1764544,Warumungu
Q1767941,Arrernte
Q1775361,Gondi
Q1776032,Hill Mari
Q1778387,Miccosukee
Q1779257,Colla People
Q1780828,Romanichal
Q1781613,Norwegian Sign Language
Q178440,Dari
Q178484,Mapuche
Q1785086,Kosovars
Q1785209,Venda people
Q178630,Portuguese
Q178631,Kanak
Q178806,Middle Dutch
Q179086,Bora–Witoto
Q1790886,Cuban Americans
Q1790907,Otoe tribe
Q179248,Albanians
Q1792998,Kurds in Syria
Q1793131,Gunai
Q1793299,Serbisk
Q17984880,South African New Zealander
Q17985547,Anēwan
Q1799968,Ladins
Q18001597,Christian
Q1800513,Laguna people
Q1803607,Transylvanian Landler dialect
Q180361,Gagauz
Q1804699,Dan people
Q180688,Bedoui
Q1808217,Lummi
Q180945,Western Armenian
Q18097,Korea
Q1810442,Sea Sámi
Q181059,Eastern Armenian
Q181074,Classical Armenian
Q18130932,Traditional Chinese
Q1813500,Nauset
Q1815623,Sri Lankan Tamils
Q181634,Scottish people
Q1820260,Pintupi
Q18223620,Basque Colombians
Q1825812,Salish peoples
Q182651,Samaritan
Q1828555,Arabic script
Q183,Germany
Q18349467,Curaçaoans in the Netherlands
Q18356677,Marwari people
Q183573,Hui people
Q18393011,Kenyan English
Q1840268,Syrian Jews
Q18419656,Fang
Q18449340,Ter Sami people
Q1844993,Chiquitano
Q18468761,Citewe
Q1849258,Albanian Americans
Q18503195,Italiana
Q1850474,Wintun people
Q1852329,Late Egyptian
Q18536071,Moluccans
Q18546266,N’Ko
Q18571895,Åsa
Q1860,English
Q18600381,Saudis
Q186192,Lithuanians
Q18690619,Kildin Saami
Q18690686,Lule Sámi people
Q18690772,Northern Sámi people
Q18691073,Ume Saami
Q1877660,Luritja
Q1877722,Lustenauer Dialekt
Q18791233,Мулкъой
Q187985,Tibetan people
Q1879910,Komi-Permyaks
Q188,German
Q188353,Welsh people
Q1886046,Lumbee
Q1886313,Macedonian Bulgarians
Q188779,Norwegians
Q1890682,Mannheim German
Q1891793,Moroccans
Q189248,GNU Bash
Q18973,Georgians
Q1898438,Masurians
Q189975,Inuit
Q190102,Linear B
Q190168,Yoruba people
Q190209,Kalmyks
Q1903204,Bushinengue
Q19109,Montenegrins
Q191322,Zenúes
Q191356,Icelanders
Q191710,Aleuts
Q191730,Evenki people
Q191923,mulatto
Q1921225,Afro Mexicans
Q192170,Prakrit
Q192604,Balkars
Q192616,Nogais
Q19261685,Asante
Q192647,Hutu
Q1929613,Pomo
Q193067,Tuvans
Q193092,Tutsi
Q19367052,Russisch: Wörterbuch Deutsch-Russisch
Q1937531,Tohono O'odham
Q1939219,Missouria
Q1940863,Miwok
Q1940883,Mixe people
Q1943269,Mokshas
Q1945786,Chinese Indonesians
Q1955201,Oji-Cree
Q1956640,Anishinaabe
Q19570975,Bangladeshi English
Q1959575,Teochew people
Q1960795,Norwegian immigration to New Zealand
Q19646253,Malaysian Tamil
Q19682167,pidgin or creole
Q1969828,Witoto people
Q1971400,Adhola
Q1972007,Barzani Kurds
Q1974818,Tewa people
Q1974839,Chinese Filipino
Q19748586,Palembang
Q1976251,Russians in Kazakhstan
Q1976275,Ukrainian Argentine
Q1976298,Ukrainian Canadians
Q1977290,Ukrainians in Russia
Q197936,Abenaki
Q1980644,Neuhessischer Regiolekt
Q19810526,Luo
Q19814,Romance languages
Q1982248,Biblical Hebrew
Q198333,Ewe
